NecropDateDt,NecropDate,DeadDateDt,DeadDate,Date1stHeardDt,Date1stHeard,AgeCarcass,BestDead,AnimalYear,Recorder,Herd,Animal_ID,Sex,Age,AgeEstMethod,GPS_CollarSerialNo_Date_FK,CollarSN,VHF_freq,Location,InvestReason,UTM_E,UTM_N,ElevDEM,CarcassCon,Cause_Mort,CausMortAcc,ConditionNotes,Evidence,Comments,CauseMortRevised,RevisionReason,PhotoTaken,Houndsmen,RumenIntact,TracksFound,ScatFound,DragMarks,Latrine,Femur,Tooth,Mandible,Skull,LionID,KillLocUsingGPSData,LionClusterID
31-Jan-25,20250131,22-Jan-25,20250122,30-Jan-25,20250130,9,,,C_Massing,Mt. Williamson,M267,Male,6,Horn Rings,,,,"On Shepherd Pass trail, 1 mi up from TH, ~6800ft elevation",Opportunistic,384668,4067085,,Consumed,Lion,Certain,"skeleton intact, ribs clipped, eaten, most meat eaten but not all, legs with hair still intact","rumen intact, ribs clipped, hair plucked.","Lion could have scavenged dead sheep. Sheep on trail, not below cliff. Collected scat in possible latrine, it was liquid (had dried), hard to know if it was lion scat. Lion hairs found in bed near carcass. Snow fell 5 days before and did not find clear tracks around carcass other than human and canine.",,,Y,,Y,N,,N,,N,N,N,N,,N,
21-Jan-25,20250121,25-Jun-23,20230625,,,583,,,M_Christopher,Mt. Baxter,M266,Male,11,Horn Rings,,,,Sand Mtn,Opportunistic,384854,4085215,,Consumed,Unknown,,"old carcass, bleached bones, still close together, complete skull attached to spine, couple loose ribs, jaw, pelvis","could be lion, clipped ribs, broken pelvis, leg bones chewed, all bones clost together, but it is all too old to be sure","estimated date of death based on condition of bones, very unknown but skeleton still there and mostly intact",,,Y,,N,N,N,N,N,N,N,N,N,,N,
05-Jan-25,20250105,02-Dec-24,20241202,02-Dec-24,20241202,33,20241202,2024,L_Greene,Mt. Gibbs,M265,Unknown,0,Size of Remains,,,,"Gibbs, S side",Lion Cluster,306232,4193944,,Consumed,Lion,Certain,"rumen and lower leg, snow may have covered some remains","lion cluster, broken long bones, rumen intact",metarsus measured ~21cm which could be very small adult or more likely lamb,,,Y,,Y,,,,,,,,,267,Y,267_20241202
08-Sep-24,20240908,26-Feb-17,20170226,,,,20170226,2016,L_Greene,Mt. Langley,S217,Male,5,Horn Rings,,,,"Hitchcock Ridge, near rainbow camp",opportunistic,378981,4046150,,Scavenged,Unknown not Predation,Certain,"bone fragments and skull. Not in avalanche path, not cached","this ribs still attached to backbone, some gnawed off but not clipped.","Originally censored but found opportunistically with collar and eartag. Bones starting to get crumbly, may have died around date of censor so used that date. During a big winter, but date of death unknown.",,,,,,,,,,n,n,n,n,,n,
09-Jul-24,20240709,11-Mar-24,20240311,08-May-24,20240508,120,20240311,2023,S_Lezberg,Mt. Warren,S622,Female,4,Frequency List,,733692,160.400,base of Kavanaugh Ridge,Mort Signal,299699,4216718,,Consumed,Lion,Probable,"4 legs, pelvis, skull, mandible","2/4 legs long bones broken, 5-10 hair plucks, skeletal remains tucked underneath overhang, both collars there","Marrow dried out. Animal heard alive Jan 2024 flight, heart on mort May 2024. Dead date based on appearance of remains and known unc lion kill in that area March 2024, S532.",,,Y,,,,,,,N,Y,N,N,,N,
17-Jun-24,20240617,08-Mar-24,20240308,08-Mar-24,20240308,,20240308,2023,L_Greene,Wheeler Ridge,S625,Female,9,Frequency List,,00199,159.980,ridge above Juarte,Mort Signal,352085,4142608,,,Unknown,,not found,not found,"not found, unsure exact location",,,N,,,,,,,N,N,N,N,,N,
04-Jun-24,20240604,25-Sep-23,20230925,25-Sep-23,20230925,254,20230925,2023,L_Siemion,Olancha Peak,M264,Unknown,0,Size of Remains,,,,Olancha S Plateau,Lion Cluster,399881,4012253,,Consumed,Lion,Certain,"most of lamb consumed, including anterior portion of skull, lower jaw bones to molars, portion of upper limbs. Scavenged by bear","collared lion cluster, hair plucked/mixed in duff, broken long bones, lion scat on surface",kill site approx. 130ft from 197's kill of adult ewe in Sep 22.,,,Y,N,,,Y,,,N,N,N,N,197,Y,197_20230925
30-May-24,20240530,27-Jan-24,20240127,27-Jan-24,20240127,123,20240127,2023,L_Siemion,Wheeler Ridge,M263,Female,3,Teeth,,,,upper Hellcat,Lion Cluster,352786,4149065,,Consumed,Lion,Certain,"skull w/ nasal bones consumed, lower jaw, sections of spine, bone fragments","collared lion cluster, hair plucks along drag, lion scat on surface, hair mixed in dirt, broken long bones/overall consumption","We know this is a 3yo ewe from teeth and horns, but we collected tooth to confirm lab aging. No bones for marrow.",,,Y,N,,,Y,Y,,N,Y,N,N,194,Y,194_20240127
28-May-24,20240528,01-Jan-24,20240101,01-Jan-24,20240101,120,20240101,2023,T_Calfee,Wheeler Ridge,S624,Male,10,Frequency List,,731523,160.055,Tamarack Bench near Dorothy Lk,Mort Signal,349902,4144062,,Consumed,Lion,Certain,"head, spine, pelvis, all connected","cached, plucked hair, hair pile, clipped ribs, rumen to the side, long bones broken and consumed",no long bones intact. Unsure exact dead date,,,Y,N,Y,,,,,,,,,,N,
20-May-24,20240520,30-Apr-24,20240430,30-Apr-24,20240430,21,20240430,2023,L_Siemion,Mt. Baxter,M262,Female,2,Horn Rings,,,,ridge btwn Thibaut and N fork Oak Crk,Lion Cluster,381814,4079364,,Consumed,Lion,Certain,"consumed and also scavenged by bear--bear scat, rumen not intact","lion cluster, hair plucks/pile, broken long bones, latrine, tracks",could not get marrow score bc marrow dessicated,,,Y,N,N,Y,Y,,Y,N,N,N,N,252,Y,252_20240430
14-May-24,20240514,20-Apr-24,20240420,07-May-24,20240507,24,20240420,2023,E_Otto,Sawmill Canyon,S643,Female,5,Horn Rings,,731509,160.600,"where Armstrong, Division, and Spook ridges all come together, 11,738ft",GPS Notification,379429,4087648,,Consumed,Lion,Certain,"a few chunks of hide, spine, skull, hair near kill site. Many plucks small but also larger plucks","caching, ribs clipped, location, hair plucks, rumen separate","no legs found anywhere for assessing marrow. Collar didn't update between death and mort notification 5/7 but died earlier. Many hair plucks were small which made us consider bobcat, but lion seems more likely and there were also larger plucks.",,,Y,N,Y,,,,,,Y,,,,N,
03-May-24,20240503,01-Mar-24,20240301,29-Apr-24,20240429,60,20240301,2023,L_Greene,Mt. Warren,S534,Female,5,Horn Rings,,,,N of Dunderberg in flats,Opportunistic,300730,4216107,,Scavenged,Unknown not Predation,Probable,"just a skull on snow. Small bones intact, skull seems to have been moved, no body found",small facial bones intact,"Skier found 4/29/24. Skull collected, no incisors. At first believed this was S622 based on proximity to collar, but her carcass was found later. No collars found, but it is likely S534 (all ewes at Warren known). Originally called M261",,,Y,,,,,,,,,,Y,,N,
22-Apr-24,20240422,01-Apr-24,20240401,01-Apr-24,20240401,20,20240401,2023,T_Calfee,Mt. Langley,S661,Female,3,Frequency List,,733722,159.565,S side Lone Pine Pk,GPS Notification,392293,4045902,,Consumed,Lion,Certain,some long bones and head found in hair pile,"Cached, hair pile, darg through steep brush, clipped ribs, rumen to the side",,,,Y,n,y,,y,y,,,,,,,n,
17-Apr-24,20240417,16-Apr-24,20240416,17-Apr-24,20240417,1,20240416,2023,P_Johnston,Mt. Warren,S659,Female,2,Frequency List,,733716,159.620,"Lundy Cyn, above trailhead, upslope",GPS Notification,301080,4210920,,,Lion,Certain,,"no data sheet, but fresh lion kill, lion was at the kill and capture was attempted","No datasheet, sheep had a cluster but did not send mort notice that I am aware of. Attempted lion capture at site but unsuccessful (uncollared lion).",,,,Y,,,,,,,,,,,N,
12-Apr-24,20240412,31-Jan-24,20240131,05-Feb-24,20240205,73,20240131,2023,M_Christopher,Olancha Peak,S494,Female,12,Frequency List,,711061,160.210,N slope Walker Crk,Mort Signal,403740,4012030,,Consumed,Physical Injury,Probable,"partial spine w/processes eaten, one femur broken, all legs in pile, horn, palete, partial pelvis, tail, no flesh","fed on by lion--hair pluck pile, rumen separate, femur broken, skull cap gone, ribs consumed, but also collar broke and stopped functioning, under cliff",Eaten by a lion but could have been scavenged after she fell off cliff. Her collar died 1/31 which is probably when she died. The GPS collar box was broken off (no download possible).,,,Y,N,Y,,,,,N,N,N,N,,N,
08-Apr-24,20240408,05-Apr-24,20240405,08-Apr-24,20240408,4,20240405,2023,T_Johnson,Mt. Williamson,S492,Male,7,Horn Rings,,698784,160.786,N Bairs,Mort Signal,388231,4061636,,Intact,Lion,Certain,"fully intact, feeding sign on ribs and neck",L255 on the kill and had cluster there,"heard on mort and investigated, small lion cluster noticed later",,,Y,N,Y,Y,,Y,,N,Y,N,N,255,N,255_20240405
20-Mar-24,20240320,04-Mar-24,20240304,04-Mar-24,20240304,16,20240304,2023,T_Stephenson,Mt. Warren,S532,Female,5,Frequency List,,,159.085,cliffs to W below Kavanaugh Ridge,GPS Notification,300190,4216483,,Consumed,Lion,Certain,everything consumed except lower portion of 2 legs and back of skull and horns,"plucked hair pile and rumen in separate site, broken femur, rostrum of skull consumed, lg lion scats","other mort causes ruled out, including avalanche, starvation, rock fall. Lion scat collected",,,Y,N,Y,,Y,,,Y,N,N,N,,N,
09-Feb-24,20240209,08-Feb-24,20240208,08-Feb-24,20240208,1,20240208,2023,P_Johnston,Mt. Baxter,M260,Female,4,Horn Rings,,,,Black Cyn Crk below crossing in water,Opportunistic,384782,4081577,,Intact,Lion,Certain,partially fed on by lion,"lion tracks, killing bite to neck, cached, covered, plucked","Killed by L257 who was translocated afterwards. Sheep has lots of mesenteric and subcutaneous fat, pregnant with a ram.",,,Y,Y,Y,Y,,Y,,,Y,Y,Y,257,N,
16-Dec-23,20231216,01-Oct-23,20231001,06-Nov-23,20231106,76,20231001,2023,C_Massing,Olancha Peak,S638,Male,2,Frequency List,,731501,159.995,unnamed cyn 2 cyns N of Olancha,Mort Signal,405472,4016409,,Scavenged,Lion,Probable,"many small bone fragments reamined, including skull fragments, scavenged by bears",600ft lower and 2/3mi from L207 waypoint 7/14/23. somewhat tidy pile of rumen,"Date of death unknown, alive in Aug, not heard on mort on 9/13 survey. Remains look several months old. L207 was in the area in July. Much bear scat and signs of scavenging",,,Y,,Y,,,,,N,N,N,N,,N,
30-Nov-23,20231130,31-Mar-23,20230331,31-Mar-23,20230331,,20230331,2022,L_Greene,Mt. Gibbs,S324,Female,,,,76709159.849,159.849,,,308478,4184584,,,Snow,Certain,,"timing and location, heavy snows","Not investigated, heard on mort 3/31 and not heard again despite multiple recovery attempts",,,,,,,,,,,,,,,N,
30-Nov-23,20231130,10-Feb-23,20230210,10-Feb-23,20230210,,20230210,2022,L_Greene,Mt. Gibbs,S487,Male,,,,698936,160.634,,,293937,4185669,,,Snow,Certain,,"timing and location, heavy snows","not investigated, flight detection during heavy snows",,,,,,,,,,,,,,,N,
30-Nov-23,20231130,31-Mar-23,20230331,31-Mar-23,20230331,,20230331,2022,L_Greene,Mt. Gibbs,S489,Male,,,,696276,159.461,not investigated,,310505,4183353,,,Snow,Certain,,timing and location,"not investigated, flight location",,,,,,,,,,,,,,,N,
30-Nov-23,20231130,25-Dec-22,20221225,25-Dec-22,20221225,,20221225,2022,L_Greene,Mt. Langley,S613,Female,,,,711842,160.800,,,389530,4045083,,,Snow,Certain,not investigated,timing and location,"not investigated, detected on Christmas flight along with several other deaths associated with winter storm",,,,,,,,,,,,,,,N,
30-Nov-23,20231130,19-Jan-23,20230119,19-Jan-23,20230119,,20230119,2022,L_Greene,Mt. Williamson,S633,Female,,,,733681,159.475,"not investigated, flight location",,385259,4056430,,,Snow,Certain,,timing and location,"not investigated, flight location",,,,,,,,,,,,,,,N,
