Keyfield,AnimalID,SerialNo,CollDeploy,LastGoodData,Sex,NoData,CleanData
24_0597U008,24,0597U008,1/21/98,3/15/98,M,Yes,No
39_0597U008,39,0597U008,4/30/98,11/6/98,M,Yes,No
24_0597U008_1,24,0597U008_1,4/21/99,10/20/99,M,Yes,No
212_150578,212,150578,5/29/22,4/24/23,M,No,No
178_150579,178,150579,6/7/22,5/18/23,F,No,No
221_150580,221,150580,7/19/22,5/23/23,M,No,No
225_150581,225,150581,9/7/22,8/29/23,F,No,No
226_150582,226,150582,9/17/22,8/30/23,F,No,No
218_150583,218,150583,5/26/22,5/7/23,M,No,No
194_150584,194,150584,12/14/22,10/23/23,F,No,No
159_150585,159,150585,7/6/22,5/28/23,F,No,No
227_150586,227,150586,11/15/22,11/27/22,M,No,No
230_150586,230,150586,1/25/23,4/16/23,F,No,No
230_150586_t1,230,150586_t1,4/18/23,9/5/23,F,No,No
224_150587,224,150587,8/1/22,7/2/23,F,No,No
206_150588,206,150588,9/26/22,11/12/22,M,No,No
206_150588_t1,206,150588_t1,11/14/22,12/23/22,M,No,No
206_150588_t2,206,150588_t2,12/25/22,12/27/22,M,No,No
166_150589,166,150589,6/21/22,4/23/23,M,No,No
227_150590,227,150590,11/4/22,11/13/22,M,Yes,No
228_150590,228,150590,1/6/23,6/18/24,M,No,No
222_150591,222,150591,7/24/22,8/5/22,M,No,No
233_150592,233,150592,2/22/23,2/19/24,M,No,No
188_152570,188,152570,6/3/23,12/31/24,F,No,No
221_152571,221,152571,5/25/23,6/15/24,M,No,No
186_152572,186,152572,5/16/23,1/21/25,F,No,No
173_152573,173,152573,3/10/23,,F,No,No
207_152574,207,152574,4/17/23,2/7/24,F,No,No
234_152575,234,152575,3/23/23,4/4/23,F,No,No
234_152575_t1,234,152575_t1,4/6/23,6/2/23,F,No,No
214_152576,214,152576,3/19/23,,F,No,No
239_152577,239,152577,6/18/23,3/19/24,M,No,No
148_152578,148,152578,9/23/23,12/15/23,M,No,No
248_152579,248,152579,11/26/23,10/3/24,M,No,No
247_152580,247,152580,10/23/23,3/11/25,M,No,No
251_154637,251,154637,12/17/23,12/22/23,F,No,No
257_154638,257,154638,2/13/24,2/25/24,F,No,No
257_154638_t1,257,154638_t1,2/27/24,2/21/25,F,No,No
167_154641,167,154641,9/12/24,,F,No,No
246_154642,246,154642,10/26/24,,F,No,No
261_154643,261,154643,4/14/24,5/9/24,M,No,No
232_154644,232,154644,2/18/24,5/19/24,F,No,No
194_154648,194,154648,1/25/24,1/16/25,F,No,No
252_154649,252,154649,1/14/24,1/14/25,M,No,No
207_154650,207,154650,2/9/24,4/7/24,F,No,No
207_154650_t1,207,154650_t1,4/9/24,,F,No,No
262_154651,262,154651,4/30/24,2/20/25,F,No,No
211_154652,211,154652,1/11/24,1/20/25,F,No,No
194_154653,194,154653,1/18/25,,F,No,No
180_154654,180,154654,1/4/24,1/27/25,F,No,No
225_154655,225,154655,1/30/24,2/4/25,F,No,No
258_154656,258,154656,3/16/24,9/10/24,F,No,No
249_154658,249,154658,11/26/23,6/26/24,M,No,No
255_154659,255,154659,1/28/24,,M,No,No
260_154660,260,154660,3/25/24,4/27/24,M,No,No
250_154661,250,154661,12/10/23,1/31/25,M,No,No
256_154664,256,154664,2/7/24,3/28/24,M,No,No
256_154664,256,154664,2/7/24,3/28/24,M,No,No
259_154665,259,154665,3/18/24,,M,No,No
254_154666,254,154666,1/23/24,,M,No,No
109_155669,109,155669,2/2/11,4/20/12,F,No,No
116_155669,116,155669,3/26/09,3/29/09,M,Yes,No
228_155899,228,155899,1/20/25,,M,No,No
252_155908,252,155908,1/16/25,1/26/25,M,No,No
267_155914,267,155914,11/17/24,12/15/24,M,No,No
267_155914_t1,267,155914_t1,12/17/24,,M,No,No
223_155917,223,155917,7/31/24,,M,No,No
156_21247,156,21247,10/31/18,7/13/19,M,No,No
130_21248,130,21248,10/24/18,11/6/19,F,No,No
191_21248,191,21248,11/4/20,5/2/22,M,No,No
157_21249,157,21249,10/31/18,10/19/19,F,No,No
166_21250,166,21250,3/28/20,9/4/21,M,No,No
143_21756,143,21756,7/24/16,4/5/17,F,Yes,No
144_23279,144,23279,10/14/17,1/27/19,M,No,No
183_23279,183,23279,8/22/20,7/19/21,M,No,No
146_23280,146,23280,2/3/18,9/17/18,F,No,No
165_23281,165,23281,3/18/20,1/5/21,M,No,No
158_23284,158,23284,11/12/18,10/22/20,F,No,No
190_23288,190,23288,11/4/20,5/17/22,F,No,No
187_23289,187,23289,10/27/20,1/23/22,M,No,No
148_23292,148,23292,3/30/18,3/26/22,M,No,No
174_23293,174,23293,1/30/20,2/17/22,M,No,No
173_23294,173,23294,1/25/20,11/21/21,F,No,No
149_23295,149,23295,4/13/18,4/22/18,M,No,No
159_23295,159,23295,11/16/18,6/16/20,F,No,No
192_23295,192,23295,11/20/20,1/7/21,M,No,No
176_23297,176,23297,3/12/20,3/26/21,M,No,No
155_23298,155,23298,10/3/18,11/23/19,F,No,No
158_23298,158,23298,10/24/20,3/6/21,F,No,No
175_23301,175,23301,1/30/20,2/5/21,F,No,No
185_23302,185,23302,10/16/20,3/22/22,F,No,No
147_23304,147,23304,3/6/18,10/15/19,M,No,No
184_23304,184,23304,8/22/20,9/20/21,F,No,No
154_23305,154,23305,9/10/18,9/13/20,M,No,No
145_23307,145,23307,10/28/17,4/30/18,M,No,No
118_275377,118,275377,9/10/09,3/8/10,M,Yes,No
124_314972,124,314972,3/12/10,9/28/10,F,No,No
86_314972,86,314972,6/11/08,9/22/08,M,No,No
128_325343,128,325343,7/14/10,1/11/11,M,No,No
79_325344,79,325344,1/21/11,3/14/11,F,No,No
97_325344,97,325344,6/25/10,9/19/10,M,No,No
121_325351,121,325351,11/6/10,12/21/10,F,No,No
130_326204,130,326204,7/14/10,10/20/11,F,No,No
119_326226,119,326226,11/9/10,1/30/11,F,No,No
120_326226,120,326226,5/25/11,8/1/11,F,No,No
